drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1EEm7GVbTV0zb8lRUNNKVT5ZzVf3xCfMI	555-Timer.pdf	application/pdf	2851184	read	555-timer
14HjKrXfMKvtycvvCAWzpyPC7wROM-Xdp	Transmission line stuff	application/vnd.google-apps.folder	0	skipped-duplicate	-
1AloNWg3fc9fU2NCr6Z246MQGya4D6geb	Module1 - Introduction to transmission lines.pdf	application/pdf	1033715	read	module1-introduction-to-transmission-lines
1JleVv7MuxlXyd60TJMUhHkrmPosU2qKj	Module2 - transmission lines in frequency domain.pdf	application/pdf	9575762	read	module2-transmission-lines-frequency-domain
1iq8STcOSYunD405ui3SIjZ1dmmD0Mv6-	module3 - Scattering Parameters.pdf	application/pdf	1050983	read	module3-scattering-parameters
1_FmJIt8CgPPuiJza5Mv8VYa1QcEJF8xb	module4 - The Smith Chart.pdf	application/pdf	4361882	read	module4-smith-chart
1XohAhJI0c7oNNdXrn27jDfw8VXzMDRs4	module5 - Review of resonance.pdf	application/pdf	865389	read	module5-review-of-resonance
1ny9Ee58mx8nMVnZFPHdjC10wDpggka7P	module6 - Matching Networks.pdf	application/pdf	1255703	read	module6-matching-networks
1HgeuPeE58gR2qA8h91YMs7Ny999lp8ii	module7 - Two-Port Circuits.pdf	application/pdf	6589785	read	module7-two-port-circuits
1JwDyqlSnGX-KJ0DVhURzU14CR6qF5ld1	module8 - Two-Ports and Power Gain.pdf	application/pdf	760625	read	module8-two-ports-power-gain
1jUtr7Y_tzA-d34S5GP6VIqdkXVkXZ3ar	module9 - Noise in Communication Systems.pdf	application/pdf	750385	read	module9-noise-in-communication-systems
1O3p0Zie-ekU3Q6trjS54XAt2vw8IqSB9	module10 - Physical Origin of Electrical Noise.pdf	application/pdf	1049933	read	module10-physical-origin-electrical-noise
1rfFlfvjdkqRRfBSCi4f2bW205WZ2sl-p	module11 - Two-Port Noise Analysis.pdf	application/pdf	1657448	read	module11-two-port-noise-analysis
1vtqRleRVVDeYyHenW6Jep-hVh_9SkGJh	module12 - MOSFET LNA Design.pdf	application/pdf	917243	read	module12-mosfet-lna-design
1Jlcr4kT2pyYgUSjiB95mdU0CRQ0VKYHj	module13 - Distortion Analysis.pdf	application/pdf	945439	read	module13-distortion-analysis
1h7_G_gsyhg0x27NSvwqRxjwcMDVf3-Rn	module14 - Distortion Metrics.pdf	application/pdf	858498	read	module14-distortion-metrics
1jkW70V5wzw84EgtBfZKaYNM6zm1Le	module15 - Effect of Feedback on Distortion.pdf	application/pdf	793030	read	module15-effect-of-feedback-on-distortion
1xmF_4lMJm_2o0I2FzHyJfZzkc-qKvLhb	module16 - Introduction to Receivers and Mixers.pdf	application/pdf	1207333	read	module16-introduction-receivers-mixers
1te1oqv702h3VbqdKNyemR6DLMI0ZBvHQ	module17 - CurrentVoltage Commutating Mixers.pdf	application/pdf	1598577	read	module17-current-voltage-commutating-mixers
1bEg3RQE6RjVu740ev3x8V4QnPF7wHsgD	module18 - Transmitters System Level Specifications.pdf	application/pdf	8842301	read	module18-transmitters-system-level-specifications
1wp2AG52qDVn57BZsMejiC5Sv1cFj48vI	module19 - Power Amplifiers.pdf	application/pdf	918562	read	module19-power-amplifiers
1jvJ-uD5yHtYgcPWMWmKgDvurFD8LPw3K	module20 - The ABC's of PA's.pdf	application/pdf	1224922	read	module20-abcs-of-pas
1XZyP7mehu3fbNgJ_F5ROSYnp6-k7biRb	module21 - Sinusoidal Oscillators- Feedback Analysis.pdf	application/pdf	6027734	read	module21-sinusoidal-oscillators-feedback-analysis
1BKf1usqlu2UhmheKwL_f-JFFx5Abb4Yv	module22 - Negative Resistance Osc, Differential Osc, and.pdf	application/pdf	1613001	read	module22-negative-resistance-osc-differential-osc-vcos
