drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
114TPzO_Wi74PMCp8ijUx82ZgyurVvqss	PIEZO MATERIAL PROPERTIES DEL PIEZO Material_Specification_Sheet.36072845 (1).pdf	application/pdf	66079	read	del-piezo-material-specification-sheet
1qK8WxDE6zdFDPxFkGErG-nV7aKMTGwj5	PI_CAT125E_R3_Piezoelectric_Ceramic_Products.pdf	application/pdf	10247817	partial	pi-piezoelectric-ceramic-products-catalog
1vJJCUiZoUGR0m0JSL6AA0FeXDJlLLybs	IntermediateMaterial.xlsx	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	35481	read	intermediate-material-acoustic-properties
1Gj5VW-79w5jclOnUJfr__IFdbCishne6	Master_Bond-Epoxies_and_Glass_Transition_Temperature.pdf	application/pdf	1417625	read	master-bond-epoxies-glass-transition-temperature
16LBXgYMdy_9vLAUacvIw-XRG-1ngD9SU	pvdf-student-pack-tds.pdf	application/pdf	233300	read	pvdf-student-pack-tds
1vHdyVYBpwY7A7xw7QSKxjUxgt0Zu1GZ-	Master_Bond-Epoxy-Film-Preform-For-Electronics.pdf	application/pdf	1693398	read	master-bond-epoxy-film-preform-electronics
1CsRLQ3KdGs8L3MMtANY2DiL_hf9xnWSM	Kalsi Seals Handbook - Chapter D4 - Shaft_deflection_runout_vibration_and_axial_motion.pdf	application/pdf	1330150	read	kalsi-seals-shaft-deflection-runout
1zPljn6y4mC3KOi9aDPxP91NQRwC1xxY-	A guide to the measurement of Roundness _ Taylor Hobson Precision.pdf	application/pdf	1900316	read	taylor-hobson-guide-to-roundness
1vtoISsknU_MwHi1K26C_9yR6HpQGkEJx	FUNdaMENTALS Topic 10_Bearings.PDF	application/pdf	4399887	partial	fundamentals-bearings
1niS0gN05UJtiw4Sa-mUq5H7IE7-CiHNk	ASME-Y14-5M-2004-Dimension-Ing-and-Tolerancing.pdf	application/pdf	10344875	partial	asme-y14-5m-2004-dimensioning-tolerancing
14Ig4-0Wn6cKG1cgFtEVV3QlehzycCWUX	Differences Between US Standards and Other Standards - A Krulikowski.pdf	application/pdf	193304	read	differences-us-standards-krulikowski
1rNsIixX1baqhX525DCOgFHEZz6WnDKoc	Order from PI.txt	text/plain	264	read	order-from-pi
1JFPqEnr3OyYQ0pHiOYV257kGF67lNpf1	Capability Machining Systems _ (2002) A Larsson.pdf	application/pdf	1239476	partial	capability-machining-systems-larsson
194Eboxaw1bKBnK9aoDrMVJtu9MIF-pDc	fittolerences [Read-Only].pdf	application/pdf	1998554	read	fit-tolerances-slides
1pERB1CX7-k6KA05akFYErL4qHPACCIhB	SurfaceGrinding.pdf	application/pdf	202766	read	surface-grinding-nsk
1mnq4V0wjvGfDJ8rbR--k8g2U67gF4hv5	Whitepaper_basics_of_linear_bearings.pdf	application/pdf	612579	read	basics-linear-bearings-whitepaper
16M3WyJWetfINoZqWcsPbmANcS8T5kxLJ	fastener_handout.pdf	application/pdf	569239	read	fastener-handout
1At1UNbJsF7kLzd0blvEKaBwSmvHBKDjk	Unit-3-62.pdf	application/pdf	185535	read	unit-3-fit-tolerances
1umkOb7QwFtgnjsnKpuwsYHyu6UwqA9vB	NSK_CAT_E1103a_PartA.pdf	application/pdf	5793306	partial	nsk-rolling-bearing-catalog
1wq_YeDfFGmmVML-8mzYyOzJwvdO-a5eA	Reference Chart - Velocity Chart.pdf	application/pdf	290542	read	velocity-chart-ultrasonic
1AdCSBqRA9cmMJKmYwo8XwvSY6GOe27AY	oscilloscopetutorial_01.pdf	application/pdf	848384	read	oscilloscope-tutorial
17mjrFFvqR-bHxY2dv-oDszhFy-UnVvUB	materials_Data_Sheet_Cambacuk.pdf	application/pdf	526800	read	cambridge-materials-data-book
