drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1J84B8mMsygY81W7ObQppYVG0CTmSviRF	Development of an Ultrasonic Sensing Technique to Measure Lubricant Viscosity in Engine Journal Bearing In-Situ - (2016) Michele Schirru.pdf	application/pdf	9082828	partial	schirru-phd-ultrasonic-viscosity-journal-bearing
16nZsrWg0DzFkBSjzNLO_c8wi4OIEK_Tz	Thesis_XL_2018.pdf	application/pdf	8564257	partial	li-phd-friction-nonlinear-ultrasound
1hYHqaFBz5lXowwFT3vrqTV-irZzDK8y7	Shah_N (Dwyer-Joyce).pdf	application/pdf	14052213	partial	shah-meng-cylinder-bore-distortion
1vGmEKnYOtLU-JQboRljyFPxg9l-W3zT4	Accuracy of STAMINA vsPE.docx	application/vnd.openxmlformats-officedocument.wordprocessingml.document	892309	read	stamina-vs-pe-comparison
14AqE2K_yfcB36ZDgsFw8IRESODiwVWsy	cr_XLI.pptx	application/vnd.openxmlformats-officedocument.presentationml.presentation	3176464	read	cr-xli-nonlinear-ultrasound-slides
10XvPK-66Icz00pZY1cQLnNLRslzqJI3y	rig improvement and loadcell design.docx	application/vnd.openxmlformats-officedocument.wordprocessingml.document	644353	read	rig-improvement-loadcell-design
1bpuZLgkiuWphm4lOgFv4qDSG9HfYH7e8	piezo material properties literature review.docx	application/vnd.openxmlformats-officedocument.wordprocessingml.document	773314	read	piezo-material-properties-literature-review
15X_clpqzofEkP-LZJAwpsxLDUpVQBLfN	piezo element database.docx	application/vnd.openxmlformats-officedocument.wordprocessingml.document	0	unreadable	piezo-element-database
1AY1NQxKhFBywMfVOTROV4Rh_Dg2d6H2G	STAMINA white paper v7 2015-12-07 (1).pdf	application/pdf	1981190	read	stamina-white-paper-v7
1SHEAqikJ_5kOtrfHOT5E9TBbA_IaasUG	Stamina report Fornasieri Husson Géroudet.pdf	application/pdf	1170720	read	stamina-report-fornasieri-husson-geroudet
1BbUJOQU8WqdQEBtIYKjDGjP1xMuquryR	Individual Mini Project Presentation-Olivia Manfredi-Final.ppt	application/vnd.ms-powerpoint	13025792	unreadable	manfredi-phd-confirmation-mini-project
