drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1I5ht79h9QG0op1mKa6Sow_jubUUBADm_	TheDataVisualizationWorkshop_eBook-200229-110313.pdf	application/pdf	36176967	partial	data-visualization-workshop
1xRqjWJrVUPxE_QKr3PrL2WqMhFXtnFwd	TheDataScienceWorkshopebook-200131-093120.pdf	application/pdf	26023702	partial	data-science-workshop
1Dee-UjwoNjpj8dot-VMKXO_4y_s402zY	TheDataScienceWorkshopepub-200131-093120.epub	application/epub+zip	47497151	unreadable	-
1U5nreEvUIu3LhIf_dCzB2bPnPBMxjVNw	TheCWorkshop-200206-174213.epub	application/epub+zip	14717143	unreadable	-
1McA3hKPOOvCWC6Pbun7eo4KcPoI2wI4s	C14377_V2-200128-104836.epub	application/epub+zip	35563541	unreadable	-
1PNkuEi-BLWad7feD4dIMikTtUV7aJZJP	C13927_TheJavaWorkshop_eBook-200128-103838.pdf	application/pdf	6188018	partial	java-workshop
1Bad0wTUESc4ROGqYE-nc7ZbL7Zpcitn-	B15779-200229-110757.epub	application/epub+zip	44426712	unreadable	-
1GBV3niO3FPWTrtPnC1kfxXN2YlOaE4Dh	B15731_V1-200128-103813.epub	application/epub+zip	8745265	unreadable	-
18JeYMDQubvReJlg_m0M2p9QbXYD1hUjo	B14377_TheJavaScriptWorkshop_eBook-200128-104706.pdf	application/pdf	22353248	partial	javascript-workshop
1hJQ6fkT8kK_CP93Jp27f_Je_c4pkzgy5	B14197_V1-200128-104123.epub	application/epub+zip	25184624	unreadable	-
1lQ9hD6SjsdG6-PdGMNQVt8hgZI7cMBSH	B14197_RubyWorkshop_eBook-200128-104214.pdf	application/pdf	15456787	partial	ruby-workshop
1M86LM6jm2PEKcn2bgwVQD54X7nM6CuF6	Cory Clark - LabVIEW Digital Signal Processing-McGraw-Hill Professional (2005).pdf	application/pdf	8309762	partial	labview-dsp
1ihzU4UjiLOaescdSkrfpKhG5i0j6TdrW	- labview graphical programming cookbook.pdf	application/pdf	4188038	partial	labview-graphical-programming-cookbook
1tCsvWgSGPCCPYqs45gUw22JSKJit2mXJ	C++ lecture.zip	application/zip	7491342	unreadable	-
1vueHlE_IE2SryTHNU0EvB6cVfXKK8mc6	Vine,_Michael_-_C_Programming_for_the_Absolute_Beginner_-_2nd_Edition.pdf	application/pdf	15033471	partial	c-programming-absolute-beginner
