drive_file_id	title	mime_type	size_bytes	status	doc_slug_or_dash
1EASo-ElVHCm8bp96lD-Cynl9wysrarn9	Interaction of Rayleigh surface waves with a tightly closed fatigue crack - (2011) JK Na JL Blackshire.pdf	application/pdf	1186823	read	rayleigh-wave-wedge-tip-enhancement-edwards-2011
1tAHQi6LzsEgzmhOzVPxQTqvF4ittZTl1	Influence of Constant Stresses on Transverse Surface Waves - (1988) SR Reddy and MP Rao.pdf	application/pdf	313521	read	constant-stresses-transverse-surface-waves-reddy-rao-1988
1hu7YKAvOj4ITJddxEVWNhpsYguxUj48k	Nondestructive Pressure Measurement in Vessels Using Rayleigh Waves and L_CR Waves (2009) Z Ling.pdf	application/pdf	596149	read	ndp-pressure-measurement-ling-2009
1TGxQwsdNuxWGFhGWMaxb_2zj185CtsVn	THE PENETRATION DEPTH OF THE RAYLEIGH SURFACE WAVES - (2007) E Soczkiewicz.pdf	application/pdf	332120	read	penetration-depth-rayleigh-soczkiewicz-1997
1_qWMncyXc4oJE5zk1a4glY5OQUQkafT5	Strategies for guided-wave structural health monitoring.pdf	application/pdf	318648	read	strategies-guided-wave-shm-croxford-2007
1RPfmFyZFYv6OM9OsrIUfB4X3sCJV93jb	Surface waves lect ANU - lecture5.pdf	application/pdf	2540883	read	surface-waves-dispersion-lecture-anu
1saXuDdYhTyg4jPZ4eWdfelenlL5oS6Dx	Rayleigh and Lamb Waves - Basic Principles - (2001) Worden.pdf	application/pdf	642894	read	rayleigh-lamb-waves-basic-principles-worden-2001
1aWEgeH8bDPKti8WU7EfsNwsykORTCPSo	Reflection and transmission of rayleigh waves in a wedge - (1985) VV Krylov VG Mozhaev.pdf	application/pdf	2750181	read	rayleigh-wave-reflection-transmission-wedge-krylov-1985
1bi1oap23nXjd1Vm6-0w2Sl0laudeeyRm	Rayleigh wave scattering from a vertical edge of isotropic substrates - (2014) AN Darinskii M Weihnacht H Schmidt.pdf	application/pdf	669109	read	rayleigh-wave-scattering-vertical-edge-darinskii-2014
1ByflrhLtQnpaSFi9RWSZWsvMMuHAyBsE	Approximation of the Rayleigh wave speed.pdf	application/pdf	123103	read	approximation-rayleigh-wave-speed-pichugin
1j3aMW36OP7AO0pfWmj4-OCfSAC5nTjKA	Nonlinear Laser-generated Surface Wave Technique for Evaluation of surface.pdf	application/pdf	220593	read	nonlinear-laser-surface-wave-damage-jhang-2012
111sbANXYv0jui-ueKQT4P9S3yXua8pa-	The measurement of A 0 and S 0 Lamb wave attenuation to determine the normal and shear stiffnesses of a compressively loaded interface.pdf	application/pdf	439258	read	lamb-wave-interface-stiffness-drinkwater-2003
